,cap-shape,cap-surface,cap-color,bruises,odor,gill-attachment,gill-spacing,gill-size,gill-color,stalk-shape,stalk-root,stalk-surface-above-ring,stalk-surface-below-ring,stalk-color-above-ring,stalk-color-below-ring,veil-type,veil-color,ring-number,ring-type,spore-print-color,population,habitat
0,2,0,2,0,6,2,1,1,3,1,5,3,3,7,7,1,2,2,5,6,3,2
1,6,3,5,2,7,1,0,2,5,0,3,2,2,8,8,0,3,1,4,2,4,6
2,6,3,10,2,0,1,0,0,5,0,2,2,2,8,8,0,3,1,4,3,2,1
3,0,3,9,2,3,1,0,0,6,0,2,2,2,8,8,0,3,1,4,3,2,4
4,6,4,9,2,7,1,0,2,6,0,3,2,2,8,8,0,3,1,4,2,4,6
5,6,3,4,1,5,1,2,0,5,2,3,2,2,8,8,0,3,1,0,3,0,1
6,6,4,10,2,0,1,0,0,6,0,2,2,2,8,8,0,3,1,4,2,2,1
7,0,3,9,2,0,1,0,0,2,0,2,2,2,8,8,0,3,1,4,2,2,4
8,0,4,9,2,3,1,0,0,6,0,2,2,2,8,8,0,3,1,4,3,4,4
9,6,4,9,2,7,1,0,2,8,0,3,2,2,8,8,0,3,1,4,2,5,1
10,0,3,10,2,0,1,0,0,2,0,2,2,2,8,8,0,3,1,4,2,4,4
11,6,4,10,2,3,1,0,0,2,0,2,2,2,8,8,0,3,1,4,3,2,1
12,6,4,10,2,0,1,0,0,6,0,2,2,2,8,8,0,3,1,4,2,4,4
13,0,3,10,2,0,1,0,0,11,0,2,2,2,8,8,0,3,1,4,3,4,1
14,6,4,9,2,7,1,0,2,5,0,3,2,2,8,8,0,3,1,4,3,5,6
15,6,1,5,1,5,1,2,0,6,2,3,2,0,8,8,0,3,1,0,2,0,1
16,5,1,4,1,5,1,0,2,5,0,3,2,2,8,8,0,3,1,4,3,6,6
17,3,1,9,1,5,1,2,0,5,2,3,2,2,8,8,0,3,1,0,3,0,1
18,6,3,5,2,7,1,0,2,6,0,3,2,2,8,8,0,3,1,4,2,4,1
19,6,4,9,2,7,1,0,2,6,0,3,2,2,8,8,0,3,1,4,3,4,6
20,6,3,5,2,7,1,0,2,5,0,3,2,2,8,8,0,3,1,4,3,4,6
21,0,3,10,2,0,1,0,0,5,0,2,2,2,8,8,0,3,1,4,3,4,4
22,6,4,5,2,7,1,0,2,6,0,3,2,2,8,8,0,3,1,4,3,5,1
23,0,4,10,2,3,1,0,0,5,0,2,2,2,8,8,0,3,1,4,3,4,4
24,0,4,9,2,0,1,0,0,11,0,2,2,2,8,8,0,3,1,4,3,2,4
25,0,3,9,2,3,1,0,0,2,0,2,2,2,8,8,0,3,1,4,2,4,4
26,3,3,9,2,7,1,0,2,6,0,3,2,2,8,8,0,3,1,4,3,5,1
27,6,4,10,2,0,1,0,0,6,0,2,2,2,8,8,0,3,1,4,3,2,4
28,6,4,9,2,3,1,0,0,11,0,2,2,2,8,8,0,3,1,4,3,2,4
29,3,1,5,1,5,1,0,2,5,0,3,2,2,8,8,0,3,1,4,2,6,6
30,6,3,10,2,0,1,2,2,6,2,1,2,2,8,8,0,3,1,4,3,5,0
31,0,3,10,2,3,1,0,0,2,0,2,2,2,8,8,0,3,1,4,3,2,4
32,6,4,9,2,7,1,0,2,5,0,3,2,2,8,8,0,3,1,4,3,4,6
33,6,4,10,2,3,1,0,0,6,0,2,2,2,8,8,0,3,1,4,3,2,4
34,6,4,5,2,3,1,0,0,8,0,4,2,4,8,8,0,3,1,4,3,6,5
35,0,4,10,2,3,1,0,0,6,0,2,2,2,8,8,0,3,1,4,3,4,4
36,6,1,10,2,3,1,2,2,11,2,1,2,2,8,8,0,3,1,4,3,5,0
37,5,1,4,1,5,1,0,2,5,0,3,2,2,8,8,0,3,1,4,2,5,6
38,6,4,5,2,7,1,0,2,11,0,3,2,2,8,8,0,3,1,4,3,4,6
39,6,1,10,2,0,1,2,2,8,2,1,2,2,8,8,0,3,1,4,3,5,0
40,0,3,10,2,3,1,0,0,5,0,2,2,2,8,8,0,3,1,4,2,4,4
41,0,4,10,2,0,1,0,0,6,0,2,2,2,8,8,0,3,1,4,3,4,1
42,6,4,10,2,3,1,0,0,6,0,4,2,4,8,8,0,3,1,4,2,6,5
43,6,1,5,1,5,1,0,2,2,0,3,2,2,8,8,0,3,1,4,2,6,6
44,6,4,9,2,7,1,0,2,8,0,3,2,2,8,8,0,3,1,4,3,5,1
